ClaimNo_AT,AccidentDesc,AccidentTypeDesc,DriverNric
POL-2022-356787,Vehicle collided with tree at office building. Driver experienced knee injury. Rainy conditions. Insurance claim to follow.,vehicle,S2867825A
POL-2024-308496,Passport stolen in shopping mall. Had to parking. Additional costs incurred.,travel,S4903402A
POL-2021-832052,"Allergic reaction to shellfish. Experienced severe headache, fever. Emergency treatment required.",medical,S5667265A
POL-2020-498382,Car accident on Highway 1 involving multiple vehicles. fractured ribs reported. rear damage to vehicle. Seeking full compensation.,vehicle,S6647119B
POL-2024-479201,Slipped and fell at highway. Resulted in bruises. Required physical therapy.,medical,S2322047E
POL-2023-391476,"Allergic reaction to medication. Experienced severe headache, fever. Emergency treatment required.",medical,S4905582B
POL-2024-765822,Rear-ended by another vehicle while turning left. Suffered concussion. Police report filed.,vehicle,S5479144B
POL-2020-340174,"Burglary at residence. jewelry, camera equipment stolen. Property damage includes significant damage. Previous claim history: none.",property,S4684531F
POL-2023-514850,Storm damage to office. total loss observed. Temporary accommodation needed. Urgent processing requested.,property,S6279418D
POL-2024-518801,Food poisoning at airport cafe. Symptoms included dizziness. Hospitalized for 1 days.,medical,S5408072G
POL-2021-930555,Passport stolen in highway. Had to turning left. Additional costs incurred.,travel,S2839607C
POL-2024-112038,Flight delayed for 48 hours. Missed tour booking. Incurred $2000 in expenses. Seeking full compensation.,travel,S8852574E
POL-2020-857168,"Burglary at residence. electronics, clothing, documents stolen. Property damage includes rear damage.",property,S3653446H
POL-2024-738551,Car accident on Route 66 involving 2 vehicles. concussion reported. rear damage to vehicle.,vehicle,S2785277E
POL-2022-972064,"Fire damage at highway. electronics, clothing, documents destroyed. Total loss estimated at $25000.",property,S1326765B
POL-2020-897549,"Food poisoning at airport cafe. Symptoms included severe headache, fever. Hospitalized for 5 days. Previous claim history: none.",medical,S2437026H
POL-2024-891952,"Luggage lost on flight from London to Hong Kong. Contained business documents, laptop.",travel,S8099076D
POL-2020-359947,Car accident on Route 66 involving 3 vehicles. whiplash reported. rear damage to vehicle. No witnesses present.,vehicle,S8350099H
POL-2020-132938,Water damage to office due to mechanical failure. Estimated repair cost $2500.,property,S1987737D
POL-2024-704201,Sudden asthma attack while exercising. Transported to hospital. observation administered. Seeking full compensation.,medical,S4594297C
POL-2023-589710,Water damage to vehicle due to tire blowout. Estimated repair cost $1000.,property,S6944126G
