InsuredNric,Insured_Premium,Claim_count,Discounts,Coverage_final,ExpDate,EffDate,Advance_purchase,Cumulative_Policies,Insured_age,No_of_insured,avg_past_3_trips_claims,avg_past_3_trips_claims_amount,Region,plantype_fgi,Policies_Per_Year,trip_duration,Tenure_Years,RG5_capped,RG6_capped,RG7_capped,RG8_capped,RG9_capped,RG10_capped,GrossClaimIncurredWithGSTHTD_capped
509R,188.81,1,53.48,Classic,2023-10-24,2022-12-06,2,8,61,2,0.64,181.82,ASEAN,Group,2.86,14,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841E,497.84,0,72.96,Deluxe,2022-07-09,2023-12-19,62,3,61,3,2.95,466.76,WORLDWIDE,Individual,0.39370078740157477,20,7.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656N,97.33,0,26.6,Classic,2023-03-04,2023-06-24,8,3,31,1,0.78,662.52,ASEAN,Individual,2.96,24,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525L,617.91,1,69.44,Deluxe,2023-01-15,2023-06-08,41,13,32,1,0.22,986.89,ASIA,Family,0.52,13,1.99,0.0,0.0,0.0,174.51,157.41,0.0,357.52
026K,389.43,0,134.45,Classic,2022-02-02,2022-03-20,23,14,41,1,2.19,637.56,WORLDWIDE,Group,1.04,16,6.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389A,563.25,0,117.77,Deluxe,2022-01-15,2023-08-08,77,3,49,3,1.43,563.28,ASIA,Family,0.4862236628849271,17,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451J,470.36,1,170.62,Deluxe,2023-01-20,2023-02-12,27,14,74,4,1.06,304.78,ASEAN,Individual,2.68,3,1.4,0.0,0.0,1219.58,430.98,0.0,0.0,1753.24
039C,360.81,0,80.55,Classic,2023-11-23,2022-05-24,62,1,69,4,0.76,497.25,ASEAN,Family,0.1278772378516624,19,7.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411X,280.76,1,75.48,Classic,2022-07-22,2022-08-03,17,6,41,1,1.9,633.53,ASIA,Family,3.1578947368421053,29,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824J,726.34,0,206.61,Preferred,2023-05-26,2022-06-27,20,7,69,1,2.07,386.74,WORLDWIDE,Family,2.03,27,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710D,396.49,1,115.13,Deluxe,2022-05-11,2023-03-11,24,6,73,1,1.93,84.14,ASEAN,Individual,1.8237082066869301,5,3.29,0.0,0.0,195.45,0.0,0.0,0.0,211.85
427R,533.42,0,117.08,Deluxe,2022-06-12,2024-01-21,61,9,53,1,0.05,493.89,ASEAN,Group,1.6574585635359116,5,5.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166T,545.14,0,213.45,Deluxe,2023-07-17,2023-04-14,8,11,44,2,1.05,645.1,ASIA,Individual,1.54,18,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
018Y,909.16,1,101.67,Deluxe,2023-06-02,2022-05-10,37,8,46,1,1.66,572.29,WORLDWIDE,Family,1.88,25,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
